"","x"
"663","ENSSSCG00000036008"
"664","ENSSSCG00000036098"
"665","ENSSSCG00000036544"
"666","ENSSSCG00000036632"
"667","ENSSSCG00000036883"
"668","ENSSSCG00000036933"
"669","ENSSSCG00000037274"
"670","ENSSSCG00000037452"
"671","ENSSSCG00000037459"
"672","ENSSSCG00000037551"
"673","ENSSSCG00000038184"
"674","ENSSSCG00000038597"
"675","ENSSSCG00000038623"
"676","ENSSSCG00000038917"
"677","ENSSSCG00000039052"
"678","ENSSSCG00000039186"
"679","ENSSSCG00000039241"
"680","ENSSSCG00000039243"
"681","ENSSSCG00000039424"
"682","ENSSSCG00000039468"
"683","ENSSSCG00000039673"
"684","ENSSSCG00000039677"
"685","ENSSSCG00000039767"
"686","ENSSSCG00000039909"
"687","ENSSSCG00000039946"
"688","ENSSSCG00000040145"
"689","ENSSSCG00000040629"
"690","ENSSSCG00000040854"
"691","ENSSSCG00000040961"
"692","ENSSSCG00000041612"
"693","ENSSSCG00000042464"
"694","ENSSSCG00000042541"
"695","ENSSSCG00000043029"
"696","ENSSSCG00000043307"
"697","ENSSSCG00000043781"
"698","ENSSSCG00000046413"
"699","ENSSSCG00000046489"
"700","ENSSSCG00000046603"
"701","ENSSSCG00000046656"
"702","ENSSSCG00000047079"
"703","ENSSSCG00000047483"
"704","ENSSSCG00000047813"
"705","ENSSSCG00000048693"
"706","ENSSSCG00000049464"
"707","ENSSSCG00000049995"
"708","ENSSSCG00000050352"
"709","ENSSSCG00000050434"
"710","ENSSSCG00000050523"
"711","ENSSSCG00000050768"
"712","ENSSSCG00000000234"
"713","ENSSSCG00000000691"
"714","ENSSSCG00000002383"
"715","ENSSSCG00000002715"
"716","ENSSSCG00000003112"
"717","ENSSSCG00000003498"
"718","ENSSSCG00000003729"
"719","ENSSSCG00000003733"
"720","ENSSSCG00000004012"
"721","ENSSSCG00000004254"
"722","ENSSSCG00000004473"
"723","ENSSSCG00000004598"
"724","ENSSSCG00000005135"
"725","ENSSSCG00000005286"
"726","ENSSSCG00000005503"
"727","ENSSSCG00000006359"
"728","ENSSSCG00000006372"
"729","ENSSSCG00000007200"
"730","ENSSSCG00000007231"
"731","ENSSSCG00000007669"
"732","ENSSSCG00000008192"
"733","ENSSSCG00000008200"
"734","ENSSSCG00000009542"
"735","ENSSSCG00000009998"
"736","ENSSSCG00000010084"
"737","ENSSSCG00000010132"
"738","ENSSSCG00000010726"
"739","ENSSSCG00000010757"
"740","ENSSSCG00000010872"
"741","ENSSSCG00000011168"
"742","ENSSSCG00000011767"
"743","ENSSSCG00000013145"
"744","ENSSSCG00000015010"
"745","ENSSSCG00000015016"
"746","ENSSSCG00000015897"
"747","ENSSSCG00000016043"
"748","ENSSSCG00000016287"
"749","ENSSSCG00000016288"
"750","ENSSSCG00000016370"
"751","ENSSSCG00000016708"
"752","ENSSSCG00000016918"
"753","ENSSSCG00000017178"
"754","ENSSSCG00000017230"
"755","ENSSSCG00000017950"
"756","ENSSSCG00000022413"
"757","ENSSSCG00000022429"
"758","ENSSSCG00000022900"
"759","ENSSSCG00000022975"
"760","ENSSSCG00000024403"
"761","ENSSSCG00000025582"
"762","ENSSSCG00000028606"
"763","ENSSSCG00000029070"
"764","ENSSSCG00000029781"
"765","ENSSSCG00000031649"
"766","ENSSSCG00000032094"
"767","ENSSSCG00000034227"
"768","ENSSSCG00000034510"
"769","ENSSSCG00000035281"
"770","ENSSSCG00000035603"
"771","ENSSSCG00000036135"
"772","ENSSSCG00000036381"
"773","ENSSSCG00000037376"
"774","ENSSSCG00000038028"
"775","ENSSSCG00000039166"
"776","ENSSSCG00000039318"
"777","ENSSSCG00000039978"
"778","ENSSSCG00000040257"
"779","ENSSSCG00000042223"
"780","ENSSSCG00000044466"
"781","ENSSSCG00000046700"
"782","ENSSSCG00000048101"
"783","ENSSSCG00000000046"
"784","ENSSSCG00000000206"
"785","ENSSSCG00000000207"
"786","ENSSSCG00000000236"
